('influence, nodes', 46.059999999999995, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([18, 38, 26, 62])])
('influence, nodes', 45.85, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 18, 70, 62])])
('influence, nodes', 45.39, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([3, 36, 40, 30])])
('influence, nodes', 45.09, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([40, 33, 30, 71])])
('influence, nodes', 45.54, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([70, 10, 26, 30])])
('influence, nodes', 46.23, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 71, 40, 62])])
('influence, nodes', 45.84, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([36, 70, 40, 62])])
('influence, nodes', 45.5, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([38, 6, 26, 30])])
('influence, nodes', 45.61, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([36, 70, 40, 29])])
('influence, nodes', 45.61, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([6, 38, 26, 29])])
('influence, nodes', 46.309999999999995, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 71, 40, 62])])
('influence, nodes', 45.57, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([40, 33, 10, 29])])
('influence, nodes', 45.15, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([33, 71, 40, 30])])
('influence, nodes', 45.78, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([33, 26, 30, 6])])
('influence, nodes', 45.95, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([18, 6, 71, 29])])
('influence, nodes', 45.29, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([26, 18, 29, 70])])
('influence, nodes', 45.41, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([33, 3, 70, 29])])
('influence, nodes', 45.28, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([3, 36, 26, 29])])
('influence, nodes', 45.46, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([33, 6, 40, 30])])
('influence, nodes', 45.59, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([38, 71, 26, 62])])
('influence, nodes', 45.41, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([38, 56, 10, 30])])
('influence, nodes', 45.7, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([18, 3, 29, 70])])
('influence, nodes', 45.69, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([40, 10, 36, 71])])
('influence, nodes', 46.04, [set([41, 10, 19, 55]), set([48, 4, 43, 62]), set([38, 70, 26, 29])])
('influence, nodes', 45.32, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([33, 26, 10, 29])])
('influence, nodes', 45.86, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 71, 26, 62])])
('influence, nodes', 45.489999999999995, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([3, 38, 71, 40])])
('influence, nodes', 45.37, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([18, 36, 10, 29])])
('influence, nodes', 45.629999999999995, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([18, 71, 26, 29])])
('influence, nodes', 45.629999999999995, [set([19, 55, 41, 10]), set([48, 4, 43, 62]), set([36, 71, 40, 29])])
('influence, nodes', 45.47, [set([41, 10, 19, 55]), set([48, 4, 43, 62]), set([18, 40, 26, 29])])
('influence, nodes', 45.72, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([36, 71, 18, 62])])
('influence, nodes', 45.769999999999996, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([3, 36, 26, 30])])
('influence, nodes', 45.37, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([33, 71, 40, 29])])
('influence, nodes', 45.23, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([3, 36, 71, 29])])
('influence, nodes', 44.940000000000005, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([18, 36, 70, 29])])
('influence, nodes', 45.980000000000004, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([70, 38, 40, 62])])
('influence, nodes', 45.64, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([40, 10, 29, 38])])
('influence, nodes', 45.26, [set([19, 20, 55, 41]), set([48, 4, 43, 62]), set([18, 70, 10, 29])])
('influence, nodes', 46.0, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([38, 71, 26, 62])])
('influence, nodes', 44.95, [set([41, 19, 20, 55]), set([48, 4, 43, 62]), set([18, 6, 29, 38])])
('influence, nodes', 45.61, [set([41, 10, 19, 55]), set([48, 4, 43, 62]), set([36, 70, 26, 29])])
('influence, nodes', 45.47, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 18, 26, 62])])
('influence, nodes', 45.37, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([36, 40, 26, 62])])
('influence, nodes', 45.72, [set([19, 55, 41, 10]), set([48, 4, 43, 29]), set([33, 18, 71, 62])])
